tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
1.0,atr+cam+em+pdc+piv+pw,0,mean,313,40.278,0.6326,0.738,0.7721,0.738,0.8371,0.9462,0.738,0.6326,-0.15865000000000007
2.0,atr+cam+em+ext+pdc+piv+pw,45,snap,313,32.6965,0.6358,0.6773,0.6365,0.7348,0.7987,0.8398,0.7348,0.6358,-0.07304999999999995
0.75,cam+em+pdc+piv+pw,0,snap,313,40.6038,0.6262,0.7284,0.7758,0.7316,0.8211,0.9424,0.7316,0.6262,-0.16604999999999992
0.75,cam+em+pdc+piv+pw,0,mean,313,40.6038,0.623,0.722,0.7758,0.7284,0.8211,0.9425,0.7284,0.623,-0.16774999999999995
2.0,cam+em+ext+pdc+piv+pw,45,mean,313,31.8019,0.6262,0.6581,0.6182,0.7252,0.7987,0.82,0.7252,0.6262,-0.058050000000000046
1.5,cam+em+ext+pdc+piv+pw,45,snap,313,33.9489,0.639,0.6677,0.6643,0.7252,0.7827,0.8586,0.7252,0.639,-0.10465000000000013
1.5,atr+cam+em+ext+pdc+piv+pw,45,snap,313,34.8371,0.639,0.6709,0.6833,0.7252,0.7827,0.8718,0.7252,0.639,-0.11785000000000012
0.75,cam+em+pdc+piv,0,snap,313,39.9649,0.6198,0.7284,0.7645,0.7252,0.8211,0.9376,0.7252,0.6198,-0.16444999999999999
0.75,cam+em+pdc+piv,0,mean,313,39.9649,0.6166,0.722,0.7645,0.722,0.8211,0.9376,0.722,0.6166,-0.16605000000000003
2.0,cam+em+ext+pdc+piv+pw,45,snap,313,31.7987,0.623,0.6709,0.6182,0.7188,0.7859,0.8198,0.7188,0.623,-0.0674499999999999
1.5,atr+cam+em+pdc+piv+pw,0,mean,313,35.23,0.6102,0.6997,0.6746,0.7188,0.8211,0.8822,0.7188,0.6102,-0.11224999999999996
1.5,atr+cam+em+pdc+piv+pw,0,snap,313,35.23,0.6102,0.6965,0.6747,0.7188,0.8179,0.8823,0.7188,0.6102,-0.11395
1.0,cam+em+pdc+piv+pw,0,snap,313,37.8371,0.6198,0.7252,0.7248,0.7188,0.8211,0.9176,0.7188,0.6198,-0.14764999999999995
