ts,entry,exit,pnl,dir,bars,how
2025-05-20 12:36:00-04:00,21435.25,21415.25,-20.0,L,14,stop
2025-05-20 13:18:00-04:00,21423.25,21403.25,-20.0,L,3,stop
2025-05-21 12:00:00-04:00,21523.0,21503.0,-20.0,L,2,stop
2025-05-21 14:12:00-04:00,21115.25,21150.0,34.75,L,3,tgt
2025-05-22 13:41:00-04:00,21277.75,21300.0,22.25,L,11,tgt
2025-05-22 14:48:00-04:00,21256.5,21236.5,-20.0,L,4,stop
2025-05-23 14:03:00-04:00,21020.5,21040.0,19.5,L,4,tgt
2025-05-23 14:24:00-04:00,21016.5,20996.5,-20.0,L,3,stop
2025-05-28 13:55:00-04:00,21448.0,21464.0,16.0,L,2,tgt
2025-06-04 11:15:00-04:00,21719.25,21750.0,30.75,L,34,tgt
2025-06-06 10:22:00-04:00,21784.0,21800.0,16.0,L,9,tgt
2025-06-09 10:20:00-04:00,21835.25,21815.25,-20.0,L,7,stop
2025-06-09 12:19:00-04:00,21845.0,21873.5,28.5,L,7,tgt
2025-06-09 14:17:00-04:00,21859.0,21839.0,-20.0,L,25,stop
2025-06-10 13:02:00-04:00,21853.25,21833.25,-20.0,L,3,stop
2025-06-11 10:10:00-04:00,22021.5,22001.5,-20.0,L,32,stop
2025-06-11 11:12:00-04:00,21957.75,21937.75,-20.0,L,6,stop
2025-06-13 12:17:00-04:00,21775.0,21800.0,25.0,L,4,tgt
2025-06-13 13:09:00-04:00,21745.75,21725.75,-20.0,L,6,stop
2025-06-17 12:02:00-04:00,22031.5,22050.0,18.5,L,8,tgt
2025-06-18 11:01:00-04:00,22041.75,22059.75,18.0,L,7,tgt
2025-06-25 10:06:00-04:00,22465.25,22445.25,-20.0,L,8,stop
2025-06-25 12:37:00-04:00,22427.25,22407.25,-20.0,L,3,stop
2025-06-26 13:51:00-04:00,22663.5,22643.5,-20.0,L,73,stop
2025-06-27 11:20:00-04:00,22786.75,22766.75,-20.0,L,64,stop
2025-06-30 13:43:00-04:00,22795.25,22825.5,30.25,L,11,tgt
2025-07-01 09:47:00-04:00,22707.25,22687.25,-20.0,L,10,stop
2025-07-01 14:03:00-04:00,22678.0,22700.0,22.0,L,16,tgt
2025-07-03 11:54:00-04:00,23052.25,23067.75,15.5,L,3,tgt
2025-07-08 14:11:00-04:00,22882.5,22900.0,17.5,L,39,tgt
2025-07-09 12:02:00-04:00,22973.5,23000.0,26.5,L,34,tgt
2025-07-09 12:56:00-04:00,22974.0,23000.0,26.0,L,9,tgt
2025-07-16 15:03:00-04:00,23069.0,23058.5,-10.5,L,27,time
2025-07-17 13:08:00-04:00,23256.75,23236.75,-20.0,L,7,stop
2025-07-21 11:18:00-04:00,23371.25,23386.75,15.5,L,14,tgt
2025-07-21 13:51:00-04:00,23398.5,23378.5,-20.0,L,15,stop
2025-07-21 14:29:00-04:00,23368.75,23348.75,-20.0,L,16,stop
2025-07-22 15:03:00-04:00,23206.75,23194.25,-12.5,L,27,time
2025-07-23 14:38:00-04:00,23280.75,23300.0,19.25,L,16,tgt
2025-07-24 11:06:00-04:00,23367.75,23347.75,-20.0,L,20,stop
2025-07-25 14:53:00-04:00,23428.5,23408.5,-20.0,L,2,stop
2025-07-28 12:20:00-04:00,23467.0,23482.5,15.5,L,13,tgt
2025-07-29 12:44:00-04:00,23475.5,23500.0,24.5,L,17,tgt
2025-07-29 13:24:00-04:00,23477.0,23500.0,23.0,L,16,tgt
2025-07-30 13:51:00-04:00,23511.0,23491.0,-20.0,L,2,stop
2025-07-31 10:17:00-04:00,23497.0,23534.75,37.75,L,11,tgt
2025-07-31 13:17:00-04:00,23330.25,23350.0,19.75,L,2,tgt
2025-08-01 13:45:00-04:00,22927.0,22900.0,27.0,S,5,tgt
2025-08-06 11:32:00-04:00,23365.0,23400.0,35.0,L,94,tgt
2025-08-08 12:27:00-04:00,23664.0,23700.0,36.0,L,16,tgt
2025-08-11 09:49:00-04:00,23729.0,23750.0,21.0,L,26,tgt
2025-08-12 14:44:00-04:00,23921.0,23950.0,29.0,L,10,tgt
2025-08-13 13:38:00-04:00,23910.75,23932.5,21.75,L,8,tgt
2025-08-14 13:17:00-04:00,23913.75,23893.75,-20.0,L,17,stop
2025-08-15 10:41:00-04:00,23772.0,23752.0,-20.0,L,1,stop
2025-08-20 14:25:00-04:00,23332.0,23352.0,-20.0,S,24,stop
2025-08-27 11:28:00-04:00,23559.25,23583.75,24.5,L,19,tgt
2025-08-27 13:55:00-04:00,23631.0,23611.0,-20.0,L,12,stop
2025-08-29 12:53:00-04:00,23468.0,23450.0,18.0,S,5,tgt
2025-09-01 10:31:00-04:00,23502.0,23483.5,18.5,S,48,tgt
2025-09-02 12:27:00-04:00,23151.25,23171.25,-20.0,S,3,stop
2025-09-02 15:11:00-04:00,23338.5,23358.5,-20.0,S,6,stop
2025-09-05 10:03:00-04:00,23530.75,23550.0,19.25,L,3,tgt
2025-09-05 14:34:00-04:00,23664.0,23644.0,-20.0,L,20,stop
2025-09-08 11:07:00-04:00,23848.75,23828.75,-20.0,L,10,stop
2025-09-08 11:38:00-04:00,23808.0,23788.0,-20.0,L,27,stop
2025-09-08 12:53:00-04:00,23776.0,23800.0,24.0,L,18,tgt
2025-09-10 12:24:00-04:00,23897.5,23877.5,-20.0,L,2,stop
2025-09-10 13:21:00-04:00,23865.5,23845.5,-20.0,L,27,stop
2025-09-10 14:15:00-04:00,23817.0,23797.0,-20.0,L,6,stop
2025-09-12 14:42:00-04:00,24099.0,24115.5,16.5,L,3,tgt
